DomHndIsLeft,DomHndIsRight,FavClrIsBrown,FavClrIsYellow,FavClrIsBlue,FavClrIsMagenta,FavClrIsOrange,FavClrIsPink,FavClrIsRed,FavClrIsGreen,FavClrIsCyan,FavClrIsGray,FavClrIsBlack,FavClrIsWhite,NumClrIs10,NumClrIs11,NumClrIs12,NumClrIs13,TmSprtIsnone,TmSprtIsBadminton,TmSprtIsCricket,TmSprtIsRugby,TmSprtIsAmFtBall,TmSprtIsSoccer,TmSprtIsVolleyBall,TmSprtIsFencing,TmSprtIsParkour,TmSprtIsDodgeBall,TmSprtIsEquestrian,TmSprtIsTennis,TmSprtIsFieldHockey,TmSprtIsCheerLdng,InSprtIsnone,InSprtIsArchery,InSprtIsTrack,InSprtIsSwimming,InSprtIsBadminton,InSprtIsWrestling,InSprtIsRockClimbing,InSprtIsGolf,InSprtIsPool,ScClubIsRobotics,ScClubIsPhotography,ScClubIsGame,ScClubIsComputer,ScClubIsnone,ScClubIsChess,ScClubIsDebate,ScClubIsModelUN,ScClubIsMath,Music_IsPiano,Music_IsViola,Music_IsViolin,Music_IsHarp,Music_IsBass,Music_IsGuitar,Music_IsNone,Music_IsVocal,Music_IsEuphonium,Music_IsDrums,Music_IsTrumpet,Music_IsTuba,Music_IsCello,BrkDnkIsWater,BrkDnkIsOJ,BrkDnkIsFruit,BrkDnkIsCoffee,BrkDnkIsSoda,BrkDnkIsNada,BrkDnkIsTea,BrkDnkIsSmoothie,BrkDnkIsGrapeJuice,BrkDnkIsPruneJuice,CookieIsCrumpets,PizTopIsAnchovies,PizTopIsMushrooms,PizTopIsPlainCheese,PizTopIsPepperoni,PizTopIsSausage,PizTopIsBroccoli,PizTopIsBacon,PizTopIsHam,PizTopIsPineapples,PizTopIsOlives,PizTopIsPeppers,PizTopIsOnions,PizTopIsNA,DinDnkIsWater,DinDnkIsMilk,DinDnkIsTea,DinDnkIsCoffee,DinDnkIsFruitJuice,DinDnkIsLemonLime,DinDnkIsRootBeer,DinDnkIsCola,DinDnkIsMilkShake,DinDnkIsGrapeJuice,DinDnkIsPapaya,ICreamIsRipple,ICreamIsVanilla,ICreamIsCreamSicle,ICreamIsStrawberry,ICreamIsMocha,ICreamIsChocolate,ICreamIsPecan,ICreamIsSherbert,ICreamIsMintChip,ICreamIsNA,SeasonIsAutumn,SeasonIsSpring,SeasonIsSummer,SeasonIsFall,SeasonIsWinter,NXClssIs2,NXClssIs3,NXClssIs4,NXClssIs5,NXClssIs6,Shirt_IsXS,Shirt_IsSM,Shirt_IsMD,Shirt_IsLG,Shirt_IsXL,Shirt_IsXXL,AimGr_IsB,AimGr_IsA,FinlGrIsF,FinlGrIsD,FinlGrIsC,FinlGrIsB,FinlGrIsA
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
